il,ilce,istasyon,istNo,yukseklik_m,lat,lon
Adana,Aladağ,ALADAĞ,18258,840.0,37.546111,35.39286
Adana,Ceyhan,CEYHAN,17960,30.0,37.01527,35.795459
Adana,Ceyhan,CEYHAN TİGEM,17649,30.0,37.114841,35.790482
Adana,Feke,FEKE,18269,583.0,37.776389,35.9
Adana,Feke,FEKE/KALEYÜZÜ KÖYÜ,18642,1152.0,37.826389,35.694444
Adana,Feke,FEKE/MANSURLU ORMAN SAHASI,18863,1356.0,37.839444,35.775
Adana,İmamoğlu,İMAMOĞLU,18055,89.0,37.241628,35.644162
Adana,Karaisalı,KARAİSALI,17936,240.0,37.25055,35.062777
Adana,Karaisalı,KARAİSALI/SADIKALİ KÖYÜ(ÇATALAN BARAJI),19173,134.0,37.198641,35.272691
Adana,Karataş,KARATAŞ,17981,22.0,36.568333,35.389444
Adana,Karataş,KARATAŞ/KONAKLI KÖYÜ,19183,0.0,36.672612,35.121332
Adana,Kozan,KOZAN,17908,112.0,37.433743,35.820196
Adana,Kozan,KOZAN/ACARYAYLA ORMAN SAHASI,18861,359.0,37.5305,35.897
Adana,Pozantı,POZANTI,17934,1080.0,37.475833,34.902222
Adana,Pozantı,POZANTI/AKÇATEKİR,18862,1276.0,37.326975,34.795434
Adana,Saimbeyli,SAİMBEYLİ,18056,1050.0,37.980191,36.085151
Adana,Saimbeyli,SAİMBEYLİ/HALİLBEYLİ KÖYÜ,18644,1370.0,37.788143,36.191693
Adana,Sarıçam,SARIÇAM,18270,80.0,37.039722,35.366944
Adana,Sarıçam,SARIÇAM/HACI SABANCI OSB,18860,39.0,36.968056,35.583056
Adana,Sarıçam,SARIÇAM/YAĞIZLAR GÖLETİ,18859,194.0,37.199722,35.553333
Adana,Seyhan,ADANA ŞAKİRPAŞA HAVALİMANI,17352,20.0,36.975811,35.272084
Adana,Seyhan,SEYHAN,19272,14.0,36.981459,35.243096
Adana,Tufanbeyli,TUFANBEYLİ,18053,1417.0,38.259148,36.219332
Adana,Tufanbeyli,TUFANBEYLİ/EVCİ KÖYÜ,18643,1680.0,38.200434,36.092292
Adana,Tufanbeyli,TUFANBEYLİ/GEZBELİ GEÇİDİ,19174,1897.0,38.207665,35.999807
Adana,Yumurtalık,YUMURTALIK,17979,34.0,36.770142,35.790249
Adana,Yüreğir,ADANA BÖLGE,17351,23.0,37.0041,35.3443
Adana,Yüreğir,YÜREĞİR/ÇUKUROVA TARIM ARŞ. (TAGEM),18054,12.0,36.854118,35.346711
Adana,Çukurova,ÇUKUROVA,18268,165.0,37.057778,35.261389
Adıyaman,Besni,BESNİ,18181,921.0,37.6823,37.8231
Adıyaman,Besni,BESNİ/KIZILKAYA KÖYÜ,19078,539.0,37.499167,38.018889
Adıyaman,Besni,BESNİ/SAMBAYAT,19257,695.0,37.680493,38.033176
Adıyaman,Gerger,GERGER,18182,821.0,38.032778,39.040833
