il,ilce,istasyon,merkezId
Düzce,Akçakoca,AKÇAKOCA,17015
Zonguldak,Devrek,DEVREK/ACISU TEPESİ RADAR SAHASI,17018
Bartın,Merkez,BARTIN,17020
Zonguldak,Merkez,ZONGULDAK,17022
Zonguldak,Çaycuma,ZONGULDAK ÇAYCUMA HAVALİMANI,17023
Kastamonu,İnebolu,İNEBOLU,17024
Sinop,Merkez,SİNOP,17026
Sinop,Merkez,SİNOP HAVALİMANI,17028
Samsun,Atakum,SAMSUN BÖLGE,17030
Samsun,Çarşamba,SAMSUN ÇARŞAMBA HAVALİMANI,17031
Ordu,Altınordu,ORDU,17033
Giresun,Merkez,GİRESUN,17034
Trabzon,Ortahisar,TRABZON BÖLGE,17037
Trabzon,Ortahisar,TRABZON HAVALİMANI,17038
Rize,Kalkandere,KALKANDERE,17040
Rize,Merkez,RİZE,17040
Artvin,Hopa,HOPA,17042
Rize,Pazar,RİZE ARTVİN HAVALİMANI,17044
Artvin,Merkez,ARTVİN,17045
Ardahan,Merkez,ARDAHAN,17046
İstanbul,Çatalca,ÇATALCA RADAR SAHASI,17047
Edirne,Merkez,EDİRNE,17050
Tekirdağ,Çorlu,TEKİRDAĞ ÇORLU HAVALİMANI,17051
Kırklareli,Merkez,KIRKLARELİ,17052
Tekirdağ,Çorlu,ÇORLU,17054
Tekirdağ,Süleymanpaşa,TEKİRDAĞ,17056
İstanbul,Arnavutköy,İSTANBUL HAVALİMANI,17058
İstanbul,Sarıyer,SARIYER/KUMKÖY-KİLYOS,17059
İstanbul,Bakırköy,İSTANBUL ATATÜRK HAVALİMANI,17060
İstanbul,Sarıyer,SARIYER,17061
İstanbul,Kadıköy,KADIKÖY GÖZTEPE RIHTIM,17062
İstanbul,Pendik,İSTANBUL SABİHA GÖKÇEN HAVALİMANI,17063
İstanbul,Kartal,İSTANBUL BÖLGE,17064
İstanbul,Sancaktepe,SAMANDIRA HAVALİMANI,17065
Kocaeli,İzmit,KOCAELİ,17066
Kocaeli,Gölcük,GÖLCÜK,17067
Kocaeli,Kartepe,KOCAELİ CENGİZ TOPEL HAVALİMANI,17068
Sakarya,Adapazarı,SAKARYA,17069
Bolu,Merkez,BOLU,17070
Düzce,Merkez,DÜZCE,17072
Kastamonu,Merkez,KASTAMONU,17074
Karabük,Merkez,KARABÜK KAPULLU,17077
Karabük,Merkez,KARABÜK,17078
Çankırı,Merkez,ÇANKIRI,17080
Amasya,Merzifon,AMASYA MERZİFON HAVALİMANI,17082
Amasya,Merzifon,MERZİFON,17083
Çorum,Merkez,ÇORUM,17084
Amasya,Merkez,AMASYA,17085
Tokat,Merkez,TOKAT,17086
Tokat,Merkez,TOKAT HAVALİMANI,17087
Gümüşhane,Merkez,GÜMÜŞHANE,17088
Bayburt,Merkez,BAYBURT,17089
Sivas,Merkez,SİVAS,17090
Sivas,Merkez,SİVAS NURİ DEMİRAĞ HAVALİMANI,17091
Erzincan,Merkez,ERZİNCAN HAVALİMANI,17092
Erzincan,Merkez,ERZİNCAN,17094
Erzurum,Yakutiye,ERZURUM BÖLGE,17095
Erzurum,Yakutiye,ERZURUM HAVALİMANI,17096
Kars,Merkez,KARS,17097
Kars,Merkez,KARS HARAKANİ HAVALİMANI,17098
Ağrı,Merkez,AĞRI,17099
Iğdır,Merkez,IĞDIR,17100
Ağrı,Merkez,AĞRI AHMED-İ HANİ HAVALİMANI,17104
Çanakkale,Gökçeada,ÇANAKKALE GÖKÇEADA HAVALİMANI,17109
Çanakkale,Gökçeada,GÖKÇEADA,17110
Çanakkale,Bozcaada,BOZCAADA,17111
Çanakkale,Merkez,ÇANAKKALE,17112
Çanakkale,Merkez,ÇANAKKALE HAVALİMANI,17113
Balıkesir,Bandırma,BANDIRMA,17114
Balıkesir,Bandırma,BANDIRMA HAVALİMANI,17115
Bursa,Osmangazi,BURSA,17116
Bursa,Yenişehir,BURSA YENİŞEHİR HAVALİMANI,17118
Yalova,Merkez,YALOVA,17119
Bilecik,Merkez,BİLECİK,17120
Eskişehir,Tepebaşı,ANADOLU ÜNİVERSİTESİ,17121
Yalova,Çiftlikköy,YALOVA HAVALİMANI,17122
Eskişehir,Tepebaşı,ESKİŞEHİR HASAN POLATKAN HAVALİMANI,17123
Eskişehir,Tepebaşı,ESKİŞEHİR HAVALİMANI,17124
Eskişehir,Sivrihisar,SİVRİHİSAR HAVALİMANI,17125
Eskişehir,Odunpazarı,ESKİŞEHİR BÖLGE,17126
Ankara,Kahramankazan,ANKARA MÜRTED HAVALİMANI,17127
Ankara,Çubuk,ANKARA ESENBOĞA HAVALİMANI,17128
Ankara,Etimesgut,ETİMESGUT HAVALİMANI,17129
