il,ilce,istasyon,istNo,veriZamani_UTC,hadise,sicaklik_C,hissedilenSicaklik_C,nem_%,ruzgarYonu_derece,ruzgarHiz_kmh,aktuelBasinc_hPa,denizeIndirgenmisBasinc_hPa,gorus_m,kapalilik_okta,yagis10dk_mm,yagis00danSuana_mm,yagis1saat_mm,yagis6saat_mm,yagis12saat_mm,yagis24saat_mm,karYukseklik_cm,denizSicaklik_C,islakTermometreSicakligi_C,calismaZamani_UTC
Adana,Yüreğir,ADANA BÖLGE,17351,2026-09-11T06:59:00.000Z,Açık,28.5,31.5,68,264,1.4400000000000002,1009.6,1012.3,45090,,0,0,0,0,0,0,,,23.89,2026-09-11T07:20:09+00:00
Adana,Seyhan,ADANA ŞAKİRPAŞA HAVALİMANI,17352,2026-09-11T06:26:00.000Z,Az Bulutlu,28.3,31.4,70,48,6.12,1010.4,1012.3,10000,2,,0,0,0,0,0,,,24.01,2026-09-11T07:20:09+00:00
Adana,Ceyhan,CEYHAN TİGEM,17649,2026-09-11T06:59:00.000Z,Açık,27.2,30,74,103,5.760000000000001,1008.3,1012.5,,,0,0,0,0,0,0,,,23.57,2026-09-11T07:20:09+00:00
Adana,Kozan,KOZAN,17908,2026-09-11T06:59:00.000Z,Açık,29.4,31,53,120,3.6,999.6,1012.5,,,0,0,0,0,0,0,,,22.3,2026-09-11T07:20:09+00:00
Adana,Pozantı,POZANTI,17934,2026-09-11T06:59:00.000Z,Açık,27.2,27.2,16,98,7.5600000000000005,896.2,1013.9,,,0,0,0,0,0,0,,,12.94,2026-09-11T07:20:09+00:00
Adana,Karaisalı,KARAİSALI,17936,2026-09-11T06:59:00.000Z,Açık,28.5,29.3,49,42,3.6,985.4,1012.8,,,0,0,0,0,0,0,,,20.84,2026-09-11T07:20:09+00:00
Adana,Ceyhan,CEYHAN,17960,2026-09-11T06:59:00.000Z,Açık,28.2,30.5,64,100,1.8,1009.5,1013,,,0,0,0,0,0,0,,,23.0,2026-09-11T07:20:09+00:00
Adana,Yumurtalık,YUMURTALIK,17979,2026-09-11T06:59:00.000Z,Açık,29.9,34.4,68,105,1.8,1008.9,1012.8,,,0,0,0,0,0,0,,,25.19,2026-09-11T07:20:09+00:00
Adana,Karataş,KARATAŞ,17981,2026-09-11T06:59:00.000Z,-9999,29.4,33.5,69,117,6.84,1010,1012.5,,,0,0,0,0,0,0,,,24.88,2026-09-11T07:20:09+00:00
Adana,Tufanbeyli,TUFANBEYLİ,18053,2026-09-11T06:58:00.000Z,Açık,23.3,23.3,21,248,2.16,862,,,,0,0,0,0,0,0,,,11.56,2026-09-11T07:20:09+00:00
Adana,Yüreğir,YÜREĞİR/ÇUKUROVA TARIM ARŞ. (TAGEM),18054,2026-09-11T06:59:00.000Z,Açık,29.2,34.3,76,257,3.9600000000000004,1012.9,1014.3,,,0,0,0,0,0,0,,,25.76,2026-09-11T07:20:09+00:00
Adana,İmamoğlu,İMAMOĞLU,18055,2026-09-11T06:59:00.000Z,Açık,28.9,33.1,73,355,7.5600000000000005,1002.1,1012.4,,,0,0,0,0,0,0,,,25.03,2026-09-11T07:20:09+00:00
Adana,Saimbeyli,SAİMBEYLİ,18056,2026-09-11T06:59:00.000Z,Açık,25.3,25.3,27,252,12.24,898.1,1013.4,,,0,0,0,0,0,0,,,14.22,2026-09-11T07:20:09+00:00
Adana,Aladağ,ALADAĞ,18258,2026-09-11T06:59:00.000Z,Açık,25.2,25.9,49,285,4.680000000000001,,,,,0,0,0,0,0,0,,,18.01,2026-09-11T07:20:09+00:00
Adana,Çukurova,ÇUKUROVA,18268,2026-09-11T06:59:00.000Z,Açık,28.4,31.8,71,79,4.32,,,,,0,0,0,0,0,0,,,24.26,2026-09-11T07:20:09+00:00
Adana,Feke,FEKE,18269,2026-09-11T06:59:00.000Z,Açık,25.4,25.4,28,312,4.32,,,,,0,0,0,0,0,0.05,,,14.5,2026-09-11T07:20:09+00:00
Adana,Sarıçam,SARIÇAM,18270,2026-09-11T06:59:00.000Z,Açık,28.1,32.4,79,276,3.9600000000000004,,,,,0,0,0,0,0,0,,,25.16,2026-09-11T07:20:09+00:00
Adana,Feke,FEKE/KALEYÜZÜ KÖYÜ,18642,2026-09-11T06:59:00.000Z,Açık,25.9,25.9,15,,,,,,,0,0,0,0,0,0,,,11.84,2026-09-11T07:20:09+00:00
Adana,Tufanbeyli,TUFANBEYLİ/EVCİ KÖYÜ,18643,2026-09-11T06:59:00.000Z,Açık,22.4,22.4,22,,,,,,,0,0,0,0,0,0,,,11.14,2026-09-11T07:20:09+00:00
Adana,Saimbeyli,SAİMBEYLİ/HALİLBEYLİ KÖYÜ,18644,2026-09-11T06:59:00.000Z,Açık,23.5,23.5,20,,,,,,,0,0,0,0,0,0,,,11.48,2026-09-11T07:20:09+00:00
Adana,Sarıçam,SARIÇAM/YAĞIZLAR GÖLETİ,18859,2026-09-11T06:59:00.000Z,Açık,28.2,32.6,79,,,,,,,0,0.05,0,0.05,0.05,0.05,,,25.26,2026-09-11T07:20:09+00:00
Adana,Sarıçam,SARIÇAM/HACI SABANCI OSB,18860,2026-09-11T06:59:00.000Z,Açık,29.2,34.7,78,152,2.8800000000000003,,,,,0,0,0,0,0,0,,,26.06,2026-09-11T07:20:09+00:00
